Total running time: 35620.84629
         18576279993 function calls (18576029687 primitive calls) in 35620.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50000    0.150    0.000    0.150    0.000 {cplex._internal.py27_cplex1270.CPXXinfostrparam}
    10000    0.137    0.000   14.445    0.001 _parameter_hierarchy.py:284(simplex_members)
    80000    0.135    0.000    0.135    0.000 {cplex._internal.py27_cplex1270.CPXXgetchannels}
    10000    0.131    0.000 4545.614    0.455 __init__.py:1052(solve)
    50000    0.127    0.000    0.920    0.000 _parameter_classes.py:150(__init__)
    10000    0.126    0.000    4.869    0.000 _parameter_hierarchy.py:238(read_members)
    10000    0.126    0.000    0.335    0.000 _subinterfaces.py:7443(_setup)
    50000    0.126    0.000    0.293    0.000 _subinterfaces.py:1235(get_num)
    50000    0.125    0.000    0.172    0.000 contextlib.py:82(helper)
    10000    0.124    0.000    1.856    0.000 _subinterfaces.py:7683(get_linear_slacks)
    80000    0.119    0.000   11.722    0.000 _list_array_utils.py:81(double_c_array)
    10000    0.119    0.000    6.569    0.001 _parameter_hierarchy.py:137(mip_polishafter_members)
    20000    0.112    0.000    0.112    0.000 {cplex._internal.py27_cplex1270.sigint_swap}
    10000    0.112    0.000    5.696    0.001 _parameter_hierarchy.py:182(mip_tolerances_members)
    40000    0.111    0.000    0.423    0.000 _procedural.py:262(addfuncdest)
    80000    0.111    0.000    0.183    0.000 _ostream.py:68(_end)
    10000    0.108    0.000    1.533    0.000 _procedural.py:1542(getslack)
    50000    0.106    0.000 13939.964    0.279 contextlib.py:15(__enter__)
    10000    0.105    0.000    0.426    0.000 _procedural.py:519(hasvmconfig)
    20000    0.103    0.000    0.138    0.000 _aux_functions.py:23(validate_arg_lengths)
    10000    0.101    0.000    5.517    0.001 _parameter_hierarchy.py:298(tune_members)
    20000    0.100    0.000    0.100    0.000 {cplex._internal.py27_cplex1270.CPXXsetstrparam}
   600000    0.100    0.000    0.100    0.000 _pycplex.py:1566(<lambda>)
    40001    0.099    0.000    0.255    0.000 _subinterfaces.py:387(get_num)
    40001    0.098    0.000    0.098    0.000 {cplex._internal.py27_cplex1270.CPXXgetnumcols}
    50000    0.091    0.000    0.091    0.000 {cplex._internal.py27_cplex1270.CPXXgetnumrows}
    40000    0.091    0.000    0.313    0.000 _procedural.py:266(delfuncdest)
    10001    0.089    0.000    0.626    0.000 _procedural.py:84(_safeDoubleArray)
    10000    0.087    0.000    4.638    0.000 _subinterfaces.py:457(_add)
    10000    0.087    0.000    4.212    0.000 _parameter_hierarchy.py:259(simplex_limits_members)
    10000    0.087    0.000    3.321    0.000 _parameter_hierarchy.py:148(mip_pool_members)
    20000    0.084    0.000 13932.149    0.697 _matrices.py:87(chbmatrix)
    10000    0.083    0.000    2.720    0.000 _parameter_hierarchy.py:20(barrier_limits_members)
    10001    0.081    0.000    1.685    0.000 _aux_functions.py:47(apply_freeform_two_args)
    10000    0.079    0.000    0.316    0.000 _procedural.py:467(createprob)
    10000    0.078    0.000    3.512    0.000 _parameter_hierarchy.py:208(output_members)
    20000    0.078    0.000    0.136    0.000 _parameter_classes.py:155(_isvalid)
    10000    0.078    0.000    0.562    0.000 _procedural.py:247(closeCPLEX)
    50000    0.076    0.000    0.167    0.000 _procedural.py:664(getnumrows)
    20000    0.075    0.000    0.187    0.000 _procedural.py:141(sigint_swap)
